 We force_max Ec El
25 180 16.594565066688276 3000.0 16.666666666666668
26 180 18.745324037278227 4000.0 22.22222222222222
27 180 21.01688525337997 5000.0 27.77777777777778
28 180 22.49700659221244 6000.0 33.333333333333336
29 180 23.89973387202588 7000.0 38.888888888888886
30 180 25.31418976441271 8000.0 44.44444444444444
31 180 26.543641577419564 9000.0 50.0
32 180 27.779588479238075 10000.0 55.55555555555556
0 200 3.107343133680076 0.1 0.0005
1 200 3.129519081823092 0.5 0.0025
2 200 3.1302582800945187 1.0 0.005
3 200 3.110546326189601 5.0 0.025
4 200 4.437653622835495 150.0 0.75
5 200 3.115474314665825 10.0 0.05
6 200 3.18668374814719 20.0 0.1
7 200 3.2522259948809307 30.0 0.15
8 200 3.325653023176576 40.0 0.2
9 200 3.404747238219937 50.0 0.25
10 200 3.4924654330966347 60.0 0.3
11 200 3.5846188176019043 70.0 0.35
12 200 3.680960992311972 80.0 0.4
13 200 3.784695149736391 90.0 0.45
14 200 3.888182907737042 100.0 0.5
15 200 4.936858855476472 200.0 1.0
16 200 5.836709551234122 300.0 1.5
17 200 6.533034322923908 400.0 2.0
18 200 7.160613655370423 500.0 2.5
19 200 7.787207390121702 600.0 3.0
20 200 8.341852493120184 700.0 3.5
21 200 8.817896179922968 800.0 4.0
22 200 9.343219751487943 900.0 4.5
23 200 9.68817894482329 1000.0 5.0
24 200 13.247418621772669 2000.0 10.0
25 200 16.043337523698057 3000.0 15.0
26 200 18.16969063135953 4000.0 20.0
27 200 19.80235785347336 5000.0 25.0
28 200 21.569041722197973 6000.0 30.0
0 300 3.1132567198515453 0.1 0.0003333333333333334
1 300 3.107096734256257 0.5 0.0016666666666666668
2 300 3.1147351163944257 1.0 0.0033333333333333335
3 300 3.1307510789421067 5.0 0.016666666666666666
4 300 3.883747718108427 150.0 0.5
5 300 3.1075895331038934 10.0 0.03333333333333333
6 300 3.170174986751866 20.0 0.06666666666666667
7 300 3.206642101475905 30.0 0.1
8 300 3.220686868633124 40.0 0.13333333333333333
9 300 3.2613427735619247 50.0 0.16666666666666666
10 300 3.322696230090868 60.0 0.2
11 300 3.3704977183102023 70.0 0.23333333333333334
12 300 3.423719993853369 80.0 0.26666666666666666
13 300 3.483348654415613 90.0 0.3
14 300 3.54470211094453 100.0 0.3333333333333333
15 300 4.23141730510571 200.0 0.6666666666666666
16 300 4.9247852837097446 300.0 1.0
17 300 5.562959791380159 400.0 1.3333333333333333
18 300 6.07029620500691 500.0 1.6666666666666667
19 300 6.52933833156673 600.0 2.0
20 300 7.046530722145952 700.0 2.3333333333333335
21 300 7.469105733981749 800.0 2.6666666666666665
22 300 7.903015119312879 900.0 3.0
23 300 8.211999996771771 1000.0 3.3333333333333335
24 300 11.18727303928929 2000.0 6.666666666666667
25 300 13.20429872260583 3000.0 10.0
26 300 15.141515632549924 4000.0 13.333333333333334
27 300 16.6637219929693 5000.0 16.666666666666668
28 300 17.935340139372922 6000.0 20.0
29 300 19.213882109585636 7000.0 23.333333333333332
30 300 20.323936153796407 8000.0 26.666666666666668
31 300 21.37224250240015 9000.0 30.0
0 400 3.114981515818244 0.1 0.00025
1 400 3.1179383089039234 0.5 0.00125
2 400 3.1125175215800907 1.0 0.0025
3 400 3.109560728494356 5.0 0.0125
4 400 3.619853935206901 150.0 0.375
5 400 3.118923906599196 10.0 0.025
6 400 3.1174455100563145 20.0 0.05
7 400 3.131243877789763 30.0 0.075
8 400 3.207134900323486 50.0 0.125
9 400 3.2716915493620093 70.0 0.175
10 400 3.238427627147503 60.0 0.15
11 400 3.3140722502574835 80.0 0.2
12 400 3.348568169591009 90.0 0.225
13 400 3.3966160572341497 100.0 0.25
14 400 3.880790925022745 200.0 0.5
15 400 4.410796085640065 300.0 0.75
16 400 4.9358732577812265 400.0 1.0
17 400 5.364361855788511 500.0 1.25
18 400 5.843855134524628 600.0 1.5
19 400 6.186350333621862 700.0 1.75
20 400 6.508887179390464 800.0 2.0
21 400 6.886124697245053 900.0 2.25
22 400 7.157410462860884 1000.0 2.5
23 400 9.814828248662298 2000.0 5.0
24 400 11.67046230938246 3000.0 7.5
25 400 13.21676653345058 4000.0 10.0
26 400 14.653398373980409 5000.0 12.5
27 400 15.86621576188578 6000.0 15.0
28 400 17.176331354265628 7000.0 17.5
29 400 18.004947976599627 8000.0 20.0
30 400 18.95545839389269 9000.0 22.5
0 500 3.1157207140896155 0.1 0.0002
1 500 3.114242317546762 0.5 0.001
2 500 3.107589533103904 1.0 0.002
3 500 3.125576691042092 5.0 0.01
4 500 3.4801454619060603 150.0 0.3
5 500 3.115967113513461 10.0 0.02
6 500 3.1447958460993526 20.0 0.04
7 500 3.177813368889996 30.0 0.06
8 500 3.19973306163223 40.0 0.08
9 500 3.172885380413762 50.0 0.1
10 500 3.213541285342591 60.0 0.12
11 500 3.2229044634474038 70.0 0.14
12 500 3.247544405828497 80.0 0.16
13 500 3.2771123366858426 90.0 0.18
14 500 3.3086514629336228 100.0 0.2
15 500 3.6674090240024166 200.0 0.4
16 500 4.0857952456334 300.0 0.6
17 500 4.51822623442163 400.0 0.8
18 500 4.903102134414369 500.0 1.0
19 500 5.289456430949966 600.0 1.2
20 500 5.616428466347144 700.0 1.4
21 500 5.9461108954061785 800.0 1.6
22 500 6.2590381636461005 900.0 1.8
23 500 6.56186305550977 1000.0 2.0
24 500 8.8344049413183 2000.0 4.0
25 500 10.56634649128556 3000.0 6.0
26 500 11.983709896873398 4000.0 8.0
27 500 13.22043788486545 5000.0 10.0
28 500 14.399976566590832 6000.0 12.0
29 500 15.362067756803114 7000.0 14.0
